name,birthdate,bio,area,employer,headcount,Уровень образования,Профессиональные навыки,Личные качества,Знание языков,Категории водительских прав,Обязанности,Курсы и сертификаты
Учитель казахского языка и литературы,,,,,,высшее,Моделирование урока;Преподавание предметов на казахском языке;Ведение учебной документации;Работа с обучаемыми;Владение современными технологиями и методиками преподавания,Ответственность;Пунктуальность;Самостоятельность и ответственность;Стрессоустойчивость;Терпеливость;Гибкость мышления;Умение быстро принимать решения;Целеустремленность;Аккуратность;Вежливость;Работа в MS Office,,,,
Врач общей практики,,,,,,послевузовское,"Оказание квалифицированной, скорой и других видов медицинской помощи",Ответственность,,,,
Сторож,от 110 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Надзор за сохранностью имущества;Надзор за сохранностью сооружений;Охрана производителей,Адаптивность,,"B, C",,
Web-разработчик,от 900 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Кодирование и реализация web-ресурса,Адаптивность;Ответственность,,B,,
Администратор офиса,от 250 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Организация документооборота,Ответственность,,,,
Учитель начальных классов,от 250 000 тенге,,,,,техническое и профессиональное,Работа с обучаемыми;Организация учебно-воспитательного процесса;Разработка обучающих программ;Определение  четких  целей  уроков;Обеспечение методического сопровождения педагогического процесса;Проведение занятия для творческого развития детей,Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;Сотрудничество и взаимодействие;Терпеливость;Умение работать в команде;Целеустремленность;Дисциплинированность;Аккуратность;Аналитическое мышление;Вежливость;Доброжелательность;Выносливость и усердие;Письменные коммуникативные навыки;Устные коммуникативные навыки;Концентрация и управление вниманием;Поиск и анализ информации;Проектное мышление;Добропорядочность,,,,
SMM-менеджер,от 240 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),"Разработка маркетинговых мероприятий для продвижения товара;Проведение переговоров и формирование коммерческих документов и соглашений;Информирование о маркетинговых акциях, продуктах и специальных предложений;Умение продвигать товары и услуги",Адаптивность;Ответственность,,,,
Учитель технологии,от 300 000 тенге,,,,,высшее,Развитие творческих способностей учащихся;Преподавание предметов на русском языке;Планирование учебного занятия;Моделирование урока;Наставничество и обучение,Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность,Казахский - высокий уровеньРусский - высокий уровеньАнглийский - начальный уровень,B1,,"Сертификат GDP-Надлежащая дистрибьюторская практикаGDP–этоодна из систем контроля качества, обеспечивающая качество фармацевтической продукции, которое гарантируется соответствующим контролем действий, совершаемых в ходе дистрибуции, а также инструмент, обеспечивающий защиту организации от фальсифицированных, недоброкачественных и незаконных копий лекарственных средств и изделий медицинского назначения.Сертификат Бухгалтера-Можно назвать такие обычные для бухгалтера обязанности как:работа с первичными документами (прием, составление, обработка и т.д.);ведение бухгалтерского учета (фиксация на счетах бухучета операций, имущества и обязательств);начисление заработной платы работникам и исчисление налогов с зарплаты;ведение кадрового учета;оформление расчетов с контрагентами;начисление и перечисление налогов;подготовка и сдача бухгалтерской и налоговой отчетности и.т.д.Курс Дизайнер интерьераДизайнер интерьера — это специалист, который занимается разработкой эстетически привлекательных, функциональных и удобных интерьерных решений для жилых и коммерческих помещений. Это творческая и практическая деятельность, связанная с созданием и преобразованием внутреннего пространства. Цель дизайнера интерьера - создать интерьер, который отвечает требованиям и предпочтениям клиента, а также соответствует их бюджету."
Подсобный рабочий,от 100 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Предотвращение проникновения инфекции в растения;Уход за растениями во время  вегетации,Адаптивность,,,,
Водитель автомобиля,,,,,,высшее,Безопасное управление различными машинами;Ремонт и замена частей автомобиля;Умение водить автомобиль;Осмотр легкового автомобиля и подготовка к поездке;Перевозка пассажиров и багажа;Знание правил дорожного движения,Адаптивность;Самостоятельность и ответственность;Стрессоустойчивость,,B,,
Учитель казахского языка и литературы,от 250 000 тенге,,,,,высшее,Работа с обучаемыми;Моделирование урока;Ведение учебной документации;Преподавание предметов на казахском языке;Агрохимические приемы возделывания культур;Выращивание высококачественных сортов семян,Ответственность;Пунктуальность,Казахский - высокий уровеньРусский - продвинутый уровеньАнглийский - начальный уровень,,,"""Цифрлық сауаттылық негіздері және ААЖ-да жұмыс істеу Кundelik.kz ҚР жалпы білім беретін мектептерінің мұғалімдері үшін"" тақырыбы бойынша 72 сағат көлемінде біліктілікті арттыру онлайн-курсы, ""Күнделік ЖШС"" 07.10.2022ж.""Мектептегі ""Қазақ тілі"" мен ""Қазақ әдебиеті"" сабақтары: басымдықтар және жетілдіру стратегиялары"" білім беру бағдарламалары бойынша 120 академиялық сағат көлеміндегі курс, ПШО, 06.06.2022ж.""Педагогикалық цифрлық құзырлығын дамыту"" ""Өрлеу БАҰО"" 18.09.2021ж.Сертификат: ""Цифрлық сауаттылық"" 04.06.2021ж.Қазақстан Республикасында білім беру мазмұнын жаңарту шеңберінде орыс тілді мектептердегі ""Қазақ тілі мен әдебиеті"" пәні бойынша педагог кадрлардың біліктілігін арттыру білім беру бағдарламасы бойынша 160 академиялық сағат көлеміндегі оқу курсы, ""Өрлеу БАҰО""  қараша 2020ж.""Мүмкіндігі шектеулі балалармен жұмыс"" тақырыбындағы 72 сағаттық оқу курсы, 02.10.2020ж.""Білім беру мазмұнын жаңарту жағдайында қазақ тілі мен әдебиеті пәні бойынша оқыту процесін жобалау"" тақырыбындағы 36 сағат көлеміндегі біліктілікті арттыру оқу курсы, ""Өрлеу БАҰО"" 04.10.2019ж.""Қазақ тілі мен әдебиеті мамандығынан ""Өзге ұлт өкілдеріне қазақ тілі мен әдебиеті оқыту әдістемесі"" тақырыбындағы 72 сағат көлеміндегі оқу курсы,  ОҚМПУ, ""ЮКГУ"" жауапкершілігі шектеулі серіктестігі, 31.05.2019ж."
Тренер-преподаватель по спорту,от 750 000 тенге,,,,,высшее,Планирование тренировочного процесса;Оказание первой медицинской помощи;Владение методикой обучения военной подготовки;Моделирование учебно-тренировочных занятий,"Ответственность;Пунктуальность;Самостоятельность и ответственность;Сотрудничество и взаимодействие;Стрессоустойчивость;Терпеливость;Умение быстро принимать решения;Умение работать в команде;Дисциплинированность;Эмоциональный интеллект;Аналитическое мышление;Вежливость;Устные коммуникативные навыки;Письменные коммуникативные навыки;Мотивированность;Навык ведения переговоров;Наставничество (менторинг, коучинг);Проектное мышление;Добропорядочность;Тайм-менеджмент;Лидерство;Логическое мышление;Многозадачность",,"A, B",,
Горничная,от 200 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),"Уборка общественных зон и служебных помещений;Стирка и глажка белья и мелкий ремонт;Контроль качества уборки и комплектации номеров, общественных помещений;Работа по обслуживанию гостей в номера;Уборка номерного фонда отеля после выезда гостей;Генеральная уборка номерного фонда;Текущая уборка номерного фонда отеля",Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;Системное мышление;Сотрудничество и взаимодействие;Стрессоустойчивость;Терпеливость;Гибкость мышления;Умение быстро принимать решения;Умение работать в команде;Управление изменениями;Целеустремленность;Дисциплинированность;Аккуратность;Вежливость;Доброжелательность;Выносливость и усердие;Способность к обучению и самообучению;Творчество и креативность;Знание продукта;Контроль рабочих процессов;Логическое рассуждение;Проведение опросов и исследований;Проведение обзоров и мониторинг цен;Работа в MS Office;Работа в условиях неопределенности,,,,
Учитель казахского языка и литературы,от 300 000 тенге,,,,,высшее,Работа с обучаемыми;Ведение учебной документации;Преподавание предметов на казахском языке,Ответственность;Самостоятельность и ответственность;Терпеливость;Умение работать в команде;Аккуратность,Казахский - высокий уровень,,,
name,birthdate,bio,area,employer,headcount,Тип занятости,График работы,Условия труда,Стажировка,Опыт работы,Образование,Рабочих мест,Обязанности,Профессиональные навыки,Личные качества,Знание языков,Регион,Место работы,Категории водительских прав,Требования к квалификации
Воспитатель,от 180 000 до 250 000 тенге,Образование и воспитание,"Прочая деятельность в области образования, не включенная в другие группировки","Учреждение образования ""Голубой парус""","Частные детские сады принимают детей с 1 до 6 лет по  двум адресам: ул.Гёте,396а и ул. Панфилова,52.",постоянная,полный рабочий день,нормальные,Не предполагается,1 год,  послесреднее,1,"В частный детский сад ""Голубой парус""&nbspна постоянную работу требуется воспитатель в группу с русским&nbspязыком обучения.Пятидневная рабочая неделя с 08 до 18 часов.&nbspНаш адрес:ул.Гёте,396а, уг.ул.Магнитная, Район ВАЗателефон 8-727-223-36-67,8-707-393-07-62 Жанна Маратовна.",профессионально-технические училища (среднее образование верхнего уровня);педагогические училища;университеты;детские сады;подготовительный класс;начальная школа;,способности к обучению;наблюдение;доброта;изобретательность;надежность;ответственность;полезность;психологическая устойчивость;пунктуальность;вежливость;внимание;умение работать в коллективе;честность;,Русский / высокий уровень,"г. Алматы, Турксибский район","ул.Гёте,396А, Турксибский  район",,
Помощник воспитателя,от 140 000 тенге,Образование и воспитание,"Прочая деятельность в области образования, не включенная в другие группировки","Учреждение образования ""Голубой парус""","Частные детские сады принимают детей с 1 до 6 лет по  двум адресам: ул.Гёте,396а и ул. Панфилова,52.",постоянная,полный рабочий день,нормальные,Не предполагается,5 лет,  послесреднее,1,""">Выполнение обязанностей помощника воспитателя (няни), любовь к детям, без вредных привычек.&nbsp"">Пятидневная рабочая неделя с 07.00 до 18.00 часов (суббота/воскресенье выходной)&nbsp"">Адрес :&nbspулица Гёте,396а,&nbspвыше ул.Магнитная, ниже Б.Хмельницкого.телефон: 8-727-223-36-67,&nbsp8-707-393-07-62 Жанна Маратовна.",Проведение воспитательных мероприятий;Игра с детьми;Чтение детям книг или рассказывание историй;Поддержание дисциплины в группе;Оказание первой медицинской помощи;,Ответственность;Пунктуальность;Стрессоустойчивость;Терпеливость;,Русский / высокий уровень,г. Алматы,"ул.Гёте,396а",,
Воспитатель,от 200 000 до 200 000 тенге,Образование и воспитание,Дошкольное образование,"Товарищество с ограниченной ответственностью ""БАТЫР-ШИФА""",Количество работников: 10,постоянная,полный рабочий день,нормальные,"Предполагается, оплачивается",3 года,высшее,1,,Проведение воспитательных мероприятий;Проведение занятия для творческого развития детей;,Ответственность;,,"г. Алматы, Наурызбайский район","микр Карагайлы, ул. Кали Надырова д 4",,
Неквалифицированный рабочий,от 150 000 тенге,Профессии без квалификации,Деятельность прочих головных компаний,"Филиал некоммерческого акционерного общества ""Государственная корпорация"" Правительство для граждан"" по городу Алматы",Количество работников: 500,постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),1,,Сортировка продукции;,Ответственность;Пунктуальность;,,"г. Алматы, Алмалинский район","улица Абая, 111",,
Уборщик в школах,от 85 000 до 100 000 тенге,Профессии без квалификации,Образование,"Коммунальное государственное учреждение ""Школа-гимназия №81"" Управления образования города Алматы",Количество работников: 71,постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),2,,"Послеуборочная обработка;Поддержание чистоты вокруг оборудований;Чистка и мойка аппаратов, выполнение санитарно-гигиенических требований;Уборка общественных зон и служебных помещений;Подбор моющих средств;Уборка офисных помещений;",Ответственность;Пунктуальность;Сотрудничество и взаимодействие;Стрессоустойчивость;Терпеливость;,,"г. Алматы, Бостандыкский район","Бухар жырау, 38",,
Неквалифицированный рабочий,от 130 000 тенге,Профессии без квалификации,Деятельность прочих головных компаний,"Филиал некоммерческого акционерного общества ""Государственная корпорация"" Правительство для граждан"" по городу Алматы",Количество работников: 500,постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),1,,Доставка материалов и топлива к печи;,Ответственность;Стрессоустойчивость;,,"г. Алматы, Алмалинский район","улица Абая, 111",,
Главный энергетик,от 567 000 до 580 000 тенге,Энергетика,Аренда и управление собственной недвижимостью,"Товарищество с ограниченной ответственностью ""ТБН""",Количество работников: 29,постоянная,полный рабочий день,нормальные,Не предполагается,5 лет,высшее,1,отвечает заорганизацию технической и хозяйственной службы по поддержанию исправного технического состояния здания.безаварийную эксплуатацию жизнеобеспечивающих систем  и бесперебойное обеспечение тепло-электро и водоснабжения Комплексаорганизовать и руководить работой  персонала технической и хозяйственной служб,"Руководство процессом эксплуатационных работ;Анализ состояния и режима работы линий электропередачи;Планирование деятельности персонала;Ликвидация аварийных и чрезвычайных ситуаций;Составление смет, сметных расчетов и иной установленной сметной документации;",Пунктуальность;Самостоятельность и ответственность;Умение быстро принимать решения;Умение работать в команде;Дисциплинированность;,Русский / продвинутый уровень,"г. Алматы, Алмалинский район","Желтоксан,148",,
Экономист,от 150 000 до 250 000 тенге,Финансы и бухучет,Прочие исследования и разработки в области естественных и технических наук,"Товарищество с ограниченной ответственностью ""Физико-технический институт""",Количество работников: 108,постоянная,полный рабочий день,нормальные,Не предполагается,3 года,послевузовское,1,,Составление бюджета предприятия;Бюджетное планирование;Внедрение плановой и учетной документации;,Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;,,"г. Алматы, Медеуский район","г. Алматы, ул. Ибрагимова, 11",,
Специалист по кадрам,от 300 000 тенге,HR и секретариат,Консультирование по вопросам коммерческой деятельности и управления,"Товарищество с ограниченной ответственностью ""ИЛФ Казахстан""",Количество работников: 43,постоянная,полный рабочий день,нормальные,Не предполагается,3 года,высшее,1,,Ведение и составление документов;Заключение трудовых договоров;Ведение делопроизводства;,Ответственность;Пунктуальность;Самостоятельность и ответственность;,Английский / высокий уровеньКазахский / высокий уровеньРусский / высокий уровень,"г. Алматы, Алмалинский район","​Улица Панфилова, 98",,
Дорожный рабочий,от 85 000 тенге,Строительство и архитектура,Строительство дорог и автомагистралей,"Товарищество с ограниченной ответственностью ""Adamand""",Количество работников: 7,временная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),3,,Проведение ремонтных работ;,Ответственность;,,"г. Алматы, Наурызбайский район",Костанайская область,,
Ассистент (общий профиль),от 180 000 тенге,HR и секретариат,Консультирование по вопросам коммерческой деятельности и управления,"Товарищество с ограниченной ответственностью ""ИЛФ Казахстан""",Количество работников: 43,постоянная,полный рабочий день,нормальные,Не предполагается,1 год,высшее,1,,"Прием и доставка (вручение) корреспонденции, уведомлений, извещений;Регистрация входящей и исходящей информации;Встреча и учет посетителей;Учет и хранение, передача документов в подразделения;",Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;Стрессоустойчивость;,Казахский / высокий уровеньРусский / высокий уровеньАнглийский / высокий уровень,"г. Алматы, Алмалинский район",,,
Грузчик,от 210 000 до 250 000 тенге,Профессии без квалификации,Производство строительных растворов,"Товарищество с ограниченной ответственностью ""Alina Group""",Количество работников: 1000,постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),2,Обязанности:Разгрузка/погрузка продукции для клиентовТребования:Физическая выносливость,Перевозка грузов;,Адаптивность;,,"г. Алматы, Жетысуский район",Казыбаева 20,,
Супервайзер касс,от 200 000 тенге,Торговля и складирование,Прочая почтовая и курьерская деятельность,"Товарищество с ограниченной ответственностью ""Почта Экспресс""","Компания «Почта Экспресс» — динамично развивающаяся компания на рынке почтовых услуг в Республике Казахстан, которая предоставляет услуги экспресс-доставки документов, посылок, грузов в любую точку Казахстана. Мы постоянно совершенствуем уровень сервиса, разрабатывая и внедряя новейшие технологии в комплекс предоставляемых услуг.",постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),1,""">1.Координация работы курьеров и решение не стандартных ситуаций.2.Контроль своевременности выполнения заданий.3.Подтверждение в ИС4.Закрытие курьера5.Контроль передачи ДС в кассу6.Прием документов у курьеров (МЛ, ПЛ, ЭН, Спец док.)7.Прием ТС (Ключи, ТП, Кассовые аппараты)звонить по тел.87771970901&nbsp",Оформление документов по кассовым операциям;Ведение кассовых операций;Проверка правильности учета кассовых операций;,Ответственность;Пунктуальность;Компьютерная грамотность;,Русский / начальный уровеньКазахский / начальный уровень,"г. Алматы, Жетысуский район","город Алматы, проспект Суюнбая 263",,
Служащий склада,от 200 000 тенге,Транспорт и логистика,Прочая почтовая и курьерская деятельность,"Товарищество с ограниченной ответственностью ""Почта Экспресс""","Компания «Почта Экспресс» — динамично развивающаяся компания на рынке почтовых услуг в Республике Казахстан, которая предоставляет услуги экспресс-доставки документов, посылок, грузов в любую точку Казахстана. Мы постоянно совершенствуем уровень сервиса, разрабатывая и внедряя новейшие технологии в комплекс предоставляемых услуг.",постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),1,прием груза у перевозчиков. грузо-погрузочные работы,"Приемка, опробование, взвешивание сырья, готовой продукции;Обеспечение сохранности товаров, оборудования;Погрузка и разгрузка товаров;",Ответственность;Пунктуальность;Самостоятельность и ответственность;,,"г. Алматы, Турксибский район","город Алматы, проспект Суюнбая 263",,
Рабочий по обслуживанию офисной техники,от 200 000 до 250 000 тенге,IT и телекоммуникации,Оптовая торговля автомобильным бензином,"Товарищество с ограниченной ответственностью ""Sinooil""","Компания SINOOIL специализируется на розничных продажах ГСМ по Казахстану. За годы существования компания утвердилась на рынке, как стабильный поставщик качественных нефтепродуктов с высоким уровнем сервиса и обслуживания. В трех филиалах, а именно, в Алматы, Астане, Актобе, расположены нефтебазы, оснащенные передовыми технологиями хранения нефтепродуктов и средствами пожарной защиты. В каждом филиале развернута широкая сеть автозаправочных станций (АЗС) для реализации ГСМ конечным потребителям.",постоянная,полный рабочий день,нормальные,Не предполагается,1 год,высшее,1,"Принимает и фиксирует заявки от пользователей, контролирует процесс их устранения;Осуществлять оперативную помощь сотрудникам по устранению неисправностей, определять, локализировать и устранять ошибки (сбои).Обеспечивать функционирование офисной инфраструктуры печати.Устанавливать, обновлять, поддерживать в работоспособном состоянии налоговые программы, в том числе ЭСФ.Устанавливать, обновлять, поддерживать в работоспособном состоянии банковских программУстанавливать, обновлять, поддерживать в работоспособном состоянии государственные порталы","Ремонт, настройка и регулировка электронной аппаратуры;Монтаж электронного оборудования;ТО компьютеров и периферийного оборудования и их эксплуатация;",Ответственность;Пунктуальность;Самостоятельность и ответственность;,,"г. Алматы, Алмалинский район",,,
Специалист по кадрам,от 200 000 до 220 000 тенге,HR и секретариат,Деятельность больниц широкого профиля и специализированных больниц,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Алматинский онкологический центр"" Управления общественного здравоохранения города Алматы",Количество работников: 3,постоянная,полный рабочий день,нормальные,Не предполагается,1 год,высшее,2,,Ведение и составление документов;Нормирование труда;Заключение трудовых договоров;Подбор квалифицированных кадров;Ведение делопроизводства;Решение вопросов кадрового обеспечения;,Ответственность;Пунктуальность;Стрессоустойчивость;Терпеливость;Умение работать в команде;Аккуратность;,Русский / продвинутый уровеньКазахский / продвинутый уровень,"г. Алматы, Бостандыкский район",Папанина 220 А,,
Бренд-менеджер,от 400 000 тенге,Маркетинг и СМИ,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,"Товарищество с ограниченной ответственностью ""Admix Sport (Адмикс Спорт)""",Количество работников: 135,постоянная,полный рабочий день,нормальные,Не предполагается,3 года,высшее,1,""">Обязанности:Участвовать в заказе новой коллекции на сезон.Формировать заказ для магазинов.Отбирать товары для новой коллекции исходя из отправленного поставщиком каталога.Просматривать экземпляры отобранных товаров на предмет качества пошива и презентабельности дизайна.Вводить артикулы выбранных позиций товаров коллекции в общую таблицу заказа и отправлять его поставщикам.Осуществлять заказ товаров в региональные магазины компании исходя из заявки региона, аналитики продаж и имеющихся остатков на складеПроводить анализ продаж товаров по магазинам за определенный период времени, исходя из выгруженного отчета прихода из 1С с вычетом оптовых продаж, определять ходовые/ неходовые товары.Прогнозировать объем закупок по различным категориям товаровАнализировать предыдущие коллекции для заказа продукции SMUЗаказывать предыдущие коллекции (Stock)Работа с оптовыми покупателями: предоставлять остатки, каталоги и при покупке товара составлять необходимые документыФормировать отчет по продажамАнализировать товары в магазине и на складе, предоставлять актуальный товар магазинамСоздавать файлы по перемещению товара между магазинами и возврата на складВыделять форму одежды для всех сотрудников магазина (директора магазинов, кассиры, продавцы консультанты, мерчендайзеры)Разработка, поддержание в актуальном состоянии и контроль соблюдения стандартов мерчендайзингаСоздание инструкций по применению рекламных и POS материалов при сезонных и плановых переоформлениях магазиновПроводить обучающие тренинги для действующих сотрудников магазина по мерчандайзингу, по внедрению новых стандартов мерчандайзинга",Проведение мероприятий по формированию бренда и имиджа;,Ответственность;Стратегическое мышление;Устные коммуникативные навыки;,,"г. Алматы, Жетысуский район",,,
Преподаватель ВУЗа в области языковых дисциплин,от 85 000 до 90 000 тенге,Образование и воспитание,Высшее образование,"Республиканское государственное учреждение ""Казахская национальная консерватория имени Курмангазы"" Министерства культуры и спорта Республики Казахстан""",Количество работников: 100,постоянная,неполная рабочая неделя,нормальные,Не предполагается,3 года,послевузовское,1,"Проводит занятия по расписаниюПринимает и выставляет текущие, рубежные и экзаменационные оценки в АИС Платонус и в Журнал преподавателяСоставляет по предмету &laquoИтальянский язык&raquoУМКД, Силлабус дисциплиныВедет учебно-методическую и научную работу.&nbsp",Владение современными технологиями и методиками преподавания;Организация образовательного процесса;,Ответственность;Пунктуальность;,,"г. Алматы, Алмалинский район",,,
Мерчендайзер,от 300 000 тенге,Торговля и складирование,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,"Товарищество с ограниченной ответственностью ""Admix Sport (Адмикс Спорт)""",Количество работников: 135,постоянная,полный рабочий день,нормальные,Не предполагается,2 года, техническое и профессиональное,2,""">-Осуществлять ежедневный осмотр зала на наличие визуального полноценного представления коллекции товара в магазине, грамотное и эффективное позиционирование всех товаров-Отвечать за создание концепта магазина и визуальное представление товара в его пространстве для максимально выигрышной демонстрации ассортимента: организация презентации сезонных коллекций, оформлять прилавки и витрины, создавать стильные и привлекающие внимание образы на манекенах, заниматься развеской и выкладкой товара в зале, обеспечивать наличие информации о товаресоздавать дополнительный объем продаж за счёт импульсных покупок, планирование и подготовка магазина к смене сезонных кампанийоформление акции, сезонные распродажи.-Участие в проведении инвентаризации и других товарных операций.-Распределение товара из новой коллекции по стенкам и островкам внутри магазина исходя из представленных категорий и размерного ряда.-Переустановка рекламных буклетов в магазине по необходимости.-Распределение новой коллекции по островкам в зависимости от категории товаров.-Формирование и оформление коротких информационных гайдов для продавцов-консультантов по технологиям и особенностям товара в зависимости от их категории.-Проведение обучающих тренинги продавцам-консультантам по технологиям и особенностям товара в зависимости от их категории.-Формирование брака по коробкам: со склада, с магазина, возврат от клиента.-Контроль &laquoостровка спеццена&raquoна актуальность цены и товара.-Всячески способствование поддержанию положительного имиджа производителя или оптового продавца товара, обеспечивает благоприятные условия для продвижения товара на потребительский рынок и высоких объемов продаж в местах розничных продаж.-Осуществление регулярного объезда закрепленных за вами торговых объектов (мест продаж).-Установление рекламных блоков (носителей) по магазину по выставленной планограмме-Контроль исполнения рекламного монтажа-Презентация новой коллекции согласно поступлению категорий по выставленной планограмме магазина-Переоформление витрин, оборудования на новую коллекцию-Проверка выкладки товара согласно мерч буку (выкладка товара по мерч буку)-Спускать предыдущую коллекцию на острова в магазине, а новую вывешивать на стены в случае поэтапного прихода новой коллекции. (выявление товара предыдущей коллекции для отправки на склад-Переустанавливать мебель в магазине (визуальное представление исходит из полученного гайда от партнеров поставщиков по мерчандайзингу и совместного видения) для представления новой коллекции.-Проработка процесса по последним размерам товаров (отдельный рейл)-Анализ торговых зон-Смена блоков товара по мере продаж внутри категории (согласно анализу продаж)-Чек лист магазина по мерч буку",Контроль за выкладкой товаров в торговом зале;,Самостоятельность и ответственность;Гибкость мышления;Умение быстро принимать решения;,Казахский / средний уровеньРусский / средний уровень,"г. Алматы, Жетысуский район",,,
Методист,от 140 000 до 160 000 тенге,Образование и воспитание,Высшее образование,"Республиканское государственное учреждение ""Казахская национальная консерватория имени Курмангазы"" Министерства культуры и спорта Республики Казахстан""",Количество работников: 100,постоянная,полный рабочий день,нормальные,Не предполагается,2 года,высшее,1,""">Принимает участие в организации аудита и анализа качества УМКС и УМКД.Принимает участие в подготовительной работе по проведениюзаседаний УМО РУМС МОН РК по группе специальностей &laquoИскусство&raquo"">Ведет подготовительную работу в проведенииУчаствует в работе по сбору информации для участия в рейтингах вузов.работы Экспертного совета по элективным дисциплинам.Профессиональные навыкиВедение и составление документов;Оказание методической помощи;Пунктуальность;г. Алматы, Алмалинский районПроспект Абылай хана 86",,Пунктуальность;,,"г. Алматы, Алмалинский район",Проспект Абылай хана 86,,
Специалист по кадрам,от 300 000 тенге,HR и секретариат,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,"Товарищество с ограниченной ответственностью ""Admix Sport (Адмикс Спорт)""",Количество работников: 135,постоянная,полный рабочий день,нормальные,"Предполагается, оплачивается",3 года,высшее,1,""">Обязанности:Полное кадровое администрирование.Cвоевременное оформление приказов по: приемам, переводам и увольнениям, отпускам, изменениям оплаты труда, командировкам работников (на&nbsp"">двух языкахЗаключение трудовых договоров /договоров материальной ответственности, и других кадровых документов, доп. соглашений"">Своевременное внесение данных по персоналу на портале enbek.kz/ЕСУТДВнесение информации по всем кадровым движениям сотрудников в 1 С Комплексная автоматизация (ЗУП 8.3)Своевременное формирование, учет и хранение личных дел сотрудников"">Первичное ознакомление со структурой Компании вновь прибывших сотрудников, ознакомление каждого вновь принятого сотрудника с правилами внутреннего трудового распорядка, должностной инструкцией, с Положением об оплате труда, Договором о коллективной материальной ответственности и т.д.Подготовка документов по истечении сроков текущего хранения к сдаче на хранение в архив"">Cоставление установленной отчетности (статистическая отчетность и т.д.)"">Подготовка справок, характеристик, иных внутренних приказов предприятия"">Архивирование кадровой документации"">Составление графиков отпусков"">Ведение воинского учета"">Поддержка работоспособности офиса (канцелярские товары, вода, такси, заказ билетов, бронирование отелей, входящая/исходящая корреспонденция)Участие в подготовке корпоративных мероприятий",Ведение и составление документов;Нормирование труда;кадровое делопроизводтсв;Заключение трудовых договоров;Ведение делопроизводства;Решение вопросов кадрового обеспечения;,Самостоятельность и ответственность;,Казахский / продвинутый уровеньРусский / продвинутый уровень,"г. Алматы, Жетысуский район",,,
Приемщик заказов,от 200 000 тенге,Профессии без квалификации,Прочая почтовая и курьерская деятельность,"Товарищество с ограниченной ответственностью ""Почта Экспресс""","Компания «Почта Экспресс» — динамично развивающаяся компания на рынке почтовых услуг в Республике Казахстан, которая предоставляет услуги экспресс-доставки документов, посылок, грузов в любую точку Казахстана. Мы постоянно совершенствуем уровень сервиса, разрабатывая и внедряя новейшие технологии в комплекс предоставляемых услуг.",постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),1,"Прием и отправка отправлений и других товарно-материальных ценностей, его сортировка.Проверка целостности упаковки (тары) и соответствия их внутреннего содержания этикетки (маркировке) во время приема продукции и во время проведения инвентаризаций. Правильно размещает груз, не допуская порчи и боя. 87771970901","Осуществление  погрузочно-разгрузочных работ;Выгрузка, погрузка и внутри складская переработка груза;Приемка, учет, распределение, перемещение, выдача товарно-материальных ценностей;",Пунктуальность;Самостоятельность и ответственность;Стрессоустойчивость;,,"г. Алматы, Турксибский район","город Алматы, проспект Суюнбая 263",,
